,Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,Est. Payroll,Year,yearID,lgID,franchID,divID,Rank,G,Ghome,W,L,Covered,RoofType
145,STL,3301218,40756,28.8,30.2,97,96,93540751,2010,2010,NL,STL,C,2,162,81,86,76,False,Open
146,TBD,1864999,23025,27.5,28.0,95,94,71923471,2010,2010,AL,TBD,E,1,162,81,96,66,True,Fixed
147,TEX,2505171,30928,28.3,27.6,109,108,56474374,2010,2010,AL,TEX,W,1,162,81,90,72,False,Open
148,TOR,1495482,19173,29.3,28.0,102,101,62734000,2010,2010,AL,TOR,E,4,162,78,85,77,True,Retractable
149,WSN,1828066,22569,29.1,28.0,99,100,67701000,2010,2010,NL,WSN,E,5,162,81,69,93,False,Open
150,ARI,2105432,25993,28.2,27.4,103,103,54823166,2011,2011,NL,ARI,W,1,162,81,94,68,True,Retractable
151,ATL,2372940,29296,28.9,28.4,101,100,93855132,2011,2011,NL,ATL,E,2,162,81,89,73,False,Open
152,BAL,1755461,21672,28.3,28.2,102,103,88299038,2011,2011,AL,BAL,E,5,162,81,69,93,False,Open
153,BOS,3054001,37704,30.1,30.3,105,105,166662475,2011,2011,AL,BOS,E,3,162,81,90,72,False,Open
154,CHC,3017966,37259,29.3,29.4,101,102,136547329,2011,2011,NL,CHC,C,5,162,81,71,91,False,Open
155,CHW,2001117,24705,30.0,28.5,106,106,127789000,2011,2011,AL,CHW,C,3,162,81,79,83,False,Open
156,CIN,2213588,27328,28.6,27.7,104,103,77297134,2011,2011,NL,CIN,C,3,162,81,79,83,False,Open
157,CLE,1840835,22726,27.8,26.7,94,96,49426566,2011,2011,AL,CLE,C,2,162,81,80,82,False,Open
158,COL,2909777,35923,28.6,27.7,119,119,91648071,2011,2011,NL,COL,W,4,162,81,73,89,False,Open
159,DET,2642045,32618,28.6,27.8,102,101,106875231,2011,2011,AL,DET,C,1,162,81,95,67,False,Open
160,FLA,1520562,18772,27.4,28.0,101,102,57694000,2011,2011,NL,FLA,E,5,162,78,72,90,True,Retractable
161,HOU,2067016,25519,28.2,27.2,98,99,71110500,2011,2011,NL,HOU,C,6,162,81,56,106,True,Retractable
162,KCR,1724450,21290,25.8,26.4,99,100,35712000,2011,2011,AL,KCR,C,4,162,81,71,91,False,Open
163,ANA,3166321,39090,28.9,28.4,92,92,138543166,2011,2011,AL,ANA,W,2,162,81,86,76,False,Open
164,LAD,2935139,36236,29.8,28.6,96,96,103785477,2011,2011,NL,LAD,W,3,161,81,82,79,False,Open
165,MIL,3071373,37918,28.9,29.3,103,103,86636333,2011,2011,NL,MIL,C,1,162,81,96,66,True,Retractable
166,MIN,3168116,39113,27.5,28.5,99,99,112737000,2011,2011,AL,MIN,C,5,162,81,63,99,False,Open
167,NYM,2352596,29044,28.0,30.0,96,96,151897309,2011,2011,NL,NYM,E,4,162,81,77,85,False,Open
168,NYY,3653680,45107,30.6,31.0,106,105,206275028,2011,2011,AL,NYY,E,1,162,81,97,65,False,Open
169,OAK,1476791,18232,29.1,27.4,98,98,67094000,2011,2011,AL,OAK,W,3,162,81,74,88,False,Open
170,PHI,3680718,45441,31.4,29.2,101,100,172976379,2011,2011,NL,PHI,E,1,162,81,102,60,False,Open
171,PIT,1940429,23956,27.2,28.1,95,97,45047000,2011,2011,NL,PIT,C,4,162,81,72,90,False,Open
172,SDP,2143018,26457,28.0,28.1,93,93,45869140,2011,2011,NL,SDP,W,5,162,81,71,91,False,Open
